date,animal_id,bin_id,start_time,end_time,duration_sec,start_weight_kg,end_weight_kg,diet,intake_kg
2023-05-25,187878244,147,00:02:35,00:04:54,139,0.2,0.2,HEIFER,0
2023-05-25,187878278,171,00:08:03,00:08:47,44,0.3,0.3,HEIFER,0
2023-05-25,187878244,149,00:05:52,00:10:10,258,0.1,0,HEIFER,0.1
2023-05-25,187878278,171,00:12:23,00:12:47,24,0.3,0.3,HEIFER,0
2023-05-25,187878236,149,00:14:45,00:14:56,11,0,0,HEIFER,0
2023-05-25,187878244,148,00:14:17,00:15:24,67,0.1,0.1,HEIFER,0
2023-05-25,187878170,174,00:19:46,00:21:50,124,0.9,0.7,HEIFER,0.2
2023-05-25,187878170,174,00:22:51,00:24:24,93,0.7,0.6,HEIFER,0.1
2023-05-25,187878204,174,00:26:38,00:27:13,35,0.6,0.5,HEIFER,0.1
2023-05-25,187878170,173,00:25:18,00:27:37,139,0.9,0.7,HEIFER,0.2
2023-05-25,187878204,174,00:28:48,00:29:19,31,0.5,0.4,HEIFER,0.1
2023-05-25,187878170,173,00:28:18,00:29:40,82,0.7,0.5,HEIFER,0.2
2023-05-25,187878204,173,00:31:45,00:32:03,18,0.5,0.4,HEIFER,0.1
2023-05-25,187878204,173,00:32:48,00:33:14,26,0.4,0.4,HEIFER,0
2023-05-25,187878204,173,00:33:32,00:33:36,4,0.4,0.4,HEIFER,0
2023-05-25,187878170,174,00:32:58,00:34:04,66,0.4,0.4,HEIFER,0
2023-05-25,187878170,174,00:35:16,00:36:57,101,0.4,0.2,HEIFER,0.2
2023-05-25,187878204,173,00:35:15,00:37:00,105,0.4,0.4,HEIFER,0
2023-05-25,187878170,174,00:37:46,00:39:16,90,0.2,0.1,HEIFER,0.1
2023-05-25,187878170,174,00:40:32,00:41:37,65,0.1,0.1,HEIFER,0
2023-05-25,187878278,172,00:43:40,00:44:24,44,0.1,0.1,HEIFER,0
2023-05-25,188463840,168,00:47:34,00:47:51,17,0.3,0.3,HEIFER,0
2023-05-25,187878108,82,00:46:36,00:49:31,175,0.3,0.2,HEIFER,0.1
2023-05-25,187878278,171,00:48:16,00:49:34,78,0.3,0.3,HEIFER,0
2023-05-25,188463840,168,00:48:18,00:49:39,81,0.3,0.3,HEIFER,0
2023-05-25,187878213,86,00:50:06,00:50:38,32,2.2,2.2,HEIFER,0
2023-05-25,188463840,168,00:50:12,00:51:16,64,0.2,0.2,HEIFER,0
2023-05-25,187878213,85,00:51:50,00:53:25,95,0.4,0.3,HEIFER,0.1
2023-05-25,188463840,168,00:51:31,00:54:02,151,0.2,0.1,HEIFER,0.1
2023-05-25,187878213,85,00:53:59,00:54:22,23,0.3,0.3,HEIFER,0
2023-05-25,188463840,167,00:54:11,00:58:17,246,1.6,1.4,HEIFER,0.2
2023-05-25,187878213,86,00:57:45,00:58:29,44,2.2,2,HEIFER,0.2
2023-05-25,187878278,172,00:59:56,01:00:11,15,0.1,0.1,HEIFER,0
2023-05-25,187878213,86,00:59:14,01:00:25,71,2,1.9,HEIFER,0.1
2023-05-25,188463840,167,00:59:13,01:01:00,107,1.4,1.3,HEIFER,0.1
2023-05-25,187878213,86,01:00:51,01:01:44,53,1.9,1.8,HEIFER,0.1
2023-05-25,187878178,169,01:00:11,01:02:31,140,1,0.8,HEIFER,0.2
2023-05-25,187878261,85,01:01:03,01:03:13,130,0.3,0.2,HEIFER,0.1
2023-05-25,187878141,83,01:03:14,01:03:56,42,5.3,5.3,HEIFER,0
2023-05-25,187878272,175,00:58:22,01:04:05,343,1.4,1.1,HEIFER,0.3
2023-05-25,187878213,86,01:02:40,01:04:17,97,1.9,1.7,HEIFER,0.2
2023-05-25,188463840,168,01:03:58,01:04:59,61,0.1,0.1,HEIFER,0
2023-05-25,187878141,84,01:04:09,01:07:09,180,3.6,3.4,HEIFER,0.2
2023-05-25,187878219,90,01:06:34,01:08:21,107,3.3,3.1,HEIFER,0.2
2023-05-25,187878178,170,01:03:17,01:08:34,317,2.4,2,HEIFER,0.4
2023-05-25,187878272,175,01:05:14,01:08:38,204,1.1,0.9,HEIFER,0.2
2023-05-25,188463840,167,01:05:05,01:08:40,215,1.3,1.1,HEIFER,0.2
2023-05-25,187878261,86,01:04:55,01:09:19,264,1.7,1.5,HEIFER,0.2
2023-05-25,187878262,83,01:09:07,01:09:36,29,5.3,5.2,HEIFER,0.1
2023-05-25,187878219,89,01:09:46,01:10:08,22,1.6,1.5,HEIFER,0.1
2023-05-25,187878265,167,01:10:25,01:10:28,3,1.1,1.1,HEIFER,0
2023-05-25,187878141,84,01:07:20,01:10:34,194,3.4,3.2,HEIFER,0.2
2023-05-25,187878178,169,01:08:50,01:10:37,107,0.8,0.7,HEIFER,0.1
2023-05-25,187878245,88,01:07:39,01:10:58,199,1.3,1,HEIFER,0.3
2023-05-25,187878266,82,01:09:24,01:10:59,95,0.2,0.1,HEIFER,0.1
2023-05-25,187878141,83,01:10:50,01:11:06,16,5.2,5.2,HEIFER,0
2023-05-25,187878262,84,01:10:46,01:11:29,43,3.2,3.1,HEIFER,0.1
2023-05-25,187878219,89,01:10:41,01:11:43,62,1.5,1.4,HEIFER,0.1
2023-05-25,187878139,175,01:09:18,01:12:07,169,0.9,0.7,HEIFER,0.2
2023-05-25,187878272,176,01:09:14,01:12:37,203,2.3,2.1,HEIFER,0.2
2023-05-25,187878265,168,01:10:45,01:13:11,146,0.1,0,HEIFER,0.1
2023-05-25,187878261,86,01:09:42,01:13:33,231,1.5,1.4,HEIFER,0.1
2023-05-25,187878265,168,01:13:54,01:14:08,14,0.1,0.1,HEIFER,0
2023-05-25,187878262,84,01:12:37,01:14:14,97,3.1,2.9,HEIFER,0.2
2023-05-25,187878266,82,01:13:28,01:14:13,45,0.1,0.1,HEIFER,0
2023-05-25,188463840,167,01:13:38,01:14:34,56,1.1,1,HEIFER,0.1
2023-05-25,187878272,175,01:13:40,01:14:51,71,0.7,0.7,HEIFER,0
2023-05-25,188463840,168,01:14:54,01:15:04,10,0.1,0,HEIFER,0.1
2023-05-25,187878219,89,01:13:26,01:15:05,99,1.4,1.2,HEIFER,0.2
2023-05-25,187878139,176,01:13:12,01:15:40,148,2.1,1.9,HEIFER,0.2
2023-05-25,187878261,85,01:14:41,01:15:55,74,0.2,0.1,HEIFER,0.1
2023-05-25,188463851,174,01:15:49,01:16:01,12,0.1,0.1,HEIFER,0
2023-05-25,187878245,87,01:12:24,01:16:16,232,1.2,0.9,HEIFER,0.3
2023-05-25,187878278,172,01:15:31,01:16:27,56,0.1,0,HEIFER,0.1
2023-05-25,187878261,86,01:16:08,01:16:35,27,1.4,1.4,HEIFER,0
2023-05-25,187878245,88,01:16:54,01:16:58,4,1,1,HEIFER,0
2023-05-25,187878272,176,01:15:55,01:17:09,74,1.9,1.8,HEIFER,0.1
2023-05-25,187878265,167,01:14:48,01:17:17,149,1,0.8,HEIFER,0.2
2023-05-25,187878262,83,01:15:58,01:17:31,93,5.2,5.1,HEIFER,0.1
2023-05-25,187878243,174,01:17:50,01:17:53,3,0,0,HEIFER,0
2023-05-25,187878266,82,01:17:51,01:18:10,19,0.1,0.1,HEIFER,0
2023-05-25,188463840,167,01:17:27,01:18:20,53,0.8,0.8,HEIFER,0
2023-05-25,187878245,87,01:17:10,01:19:43,153,0.9,0.7,HEIFER,0.2
